,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
1,Japan,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,JPN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1107468,,,846428,,1511136,1 110 000 [846 000-1 510 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,JPN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,61366.0,,,43690.0,,82067.0,61 366 [43 690-82 067],,,EN,2024-10-02T22:00:00.000Z
2,Indonesia,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,IDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1487277,,,1010864,,2103153,1 490 000 [1 010 000-2 100 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,IDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119869.0,,,87647.0,,155411.0,119 869 [87 647-155 411],,,EN,2024-10-02T22:00:00.000Z
11,Nepal,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,109269,,,62922,,180861,109 000 [62 900-181 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14662.0,,,10717.0,,19661.0,14 662 [10 717-19 661],,,EN,2024-10-02T22:00:00.000Z
15,Samoa,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,WSM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1147,,,682,,1704,1150 [680-1700],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,WSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,43.17,,,0.0,,91.11,43 [0-91],,,EN,2024-10-02T22:00:00.000Z
16,Sri Lanka,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,LKA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,115872,,,70013,,172187,116 000 [70 000-172 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,LKA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,9523.0,,,6798.0,,12329.0,9523 [6798-12 329],,,EN,2024-10-02T22:00:00.000Z
31,Malaysia,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,MYS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,140099,,,93575,,207813,140 000 [93 600-208 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,MYS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,16792.0,,,12945.0,,20668.0,16 792 [12 945-20 668],,,EN,2024-10-02T22:00:00.000Z
34,Mongolia,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,MNG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,15886,,,10332,,22670,15 900 [10 300-22 700],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,MNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,2346.0,,,1795.0,,2911.0,2346 [1795-2911],,,EN,2024-10-02T22:00:00.000Z
35,Australia,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,AUS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,151510,,,112745,,199873,152 000 [113 000-200 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,AUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,5314.0,,,3559.0,,7097.0,5314 [3559-7097],,,EN,2024-10-02T22:00:00.000Z
36,Brunei Darussalam,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,BRN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1548,,,979,,2229,1550 [980-2230],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,BRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.86,,,35.84,,87.75,60 [36-88],,,EN,2024-10-02T22:00:00.000Z
37,Vanuatu,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,VUT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1580,,,957,,2515,1580 [960-2520],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,VUT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.1,,,0.0,,176.2,90 [0-176],,,EN,2024-10-02T22:00:00.000Z
40,Singapore,NCD_DTH_TOT,Total NCD Deaths,numeric,WPR,Western Pacific,Country,SGP,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,16617,,,14435,,24583,16 600 [14 400-24 600],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,SGP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1984.0,,,1339.0,,2658.0,1984 [1339-2658],,,EN,2024-10-02T22:00:00.000Z
52,Democratic People's Republic of Korea,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,PRK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,211200,,,125791,,334484,211 000 [126 000-334 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,PRK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,26499.0,,,19547.0,,34340.0,26 499 [19 547-34 340],,,EN,2024-10-02T22:00:00.000Z
